"Year","ConditionID","Validity","SelectionRatio","Turnover","FirePerc","Reliability","Mean","SD"
1,1,0.3,0.1,0,0.05,0.5,0.0146611184826044,0.10436673036357
2,1,0.3,0.1,0,0.05,0.5,0.0146611184826044,0.10436673036357
3,1,0.3,0.1,0,0.05,0.5,0.0146611184826044,0.10436673036357
4,1,0.3,0.1,0,0.05,0.5,0.0146611184826044,0.10436673036357
5,1,0.3,0.1,0,0.05,0.5,0.0146611184826044,0.10436673036357
6,1,0.3,0.1,0,0.05,0.5,0.0146611184826044,0.10436673036357
7,1,0.3,0.1,0,0.05,0.5,0.0146611184826044,0.10436673036357
8,1,0.3,0.1,0,0.05,0.5,0.0146611184826044,0.10436673036357
9,1,0.3,0.1,0,0.05,0.5,0.0146611184826044,0.10436673036357
10,1,0.3,0.1,0,0.05,0.5,0.0146611184826044,0.10436673036357
11,1,0.3,0.1,0,0.05,0.5,0.0146611184826044,0.10436673036357
12,1,0.3,0.1,0,0.05,0.5,0.0146611184826044,0.10436673036357
13,1,0.3,0.1,0,0.05,0.5,0.0146611184826044,0.10436673036357
14,1,0.3,0.1,0,0.05,0.5,0.0146611184826044,0.10436673036357
15,1,0.3,0.1,0,0.05,0.5,0.0146611184826044,0.10436673036357
16,1,0.3,0.1,0,0.05,0.5,0.0146611184826044,0.10436673036357
17,1,0.3,0.1,0,0.05,0.5,0.0146611184826044,0.10436673036357
18,1,0.3,0.1,0,0.05,0.5,0.0146611184826044,0.10436673036357
19,1,0.3,0.1,0,0.05,0.5,0.0146611184826044,0.10436673036357
20,1,0.3,0.1,0,0.05,0.5,0.0146611184826044,0.10436673036357
21,1,0.3,0.1,0,0.05,0.5,0.0146611184826044,0.10436673036357
22,1,0.3,0.1,0,0.05,0.5,0.0146611184826044,0.10436673036357
23,1,0.3,0.1,0,0.05,0.5,0.0146611184826044,0.10436673036357
24,1,0.3,0.1,0,0.05,0.5,0.0146611184826044,0.10436673036357
25,1,0.3,0.1,0,0.05,0.5,0.0146611184826044,0.10436673036357
26,1,0.3,0.1,0,0.05,0.5,0.0146611184826044,0.10436673036357
27,1,0.3,0.1,0,0.05,0.5,0.0146611184826044,0.10436673036357
28,1,0.3,0.1,0,0.05,0.5,0.0146611184826044,0.10436673036357
29,1,0.3,0.1,0,0.05,0.5,0.0146611184826044,0.10436673036357
